67228	13	67228
48358	13	48358
60088	32	20952
26512	1	18514
44889	1	2071
55681	28	6675
19650	13	19650
23721	28	7135
58440	1	16189
14403	13	14403
17782	13	17782
48042	13	48042
55891	32	20952
19234	28	67061
15622	13	15622
49444	28	7718
51272	13	51272
1414	32	20952
47633	13	47633
47011	1	3901
50281	4	56317
19627	4	23163
46545	32	20952
22531	26	42205
3324	13	3324
50815	13	50815
53431	32	20952
51836	28	58296
56777	28	27808
40125	1	30407
24735	13	24735
25322	4	51571
14796	26	38807
839	26	43775
51470	13	51470
3174	13	3174
29090	4	1701
26932	26	10331
40118	32	20952
41743	4	28908
62279	32	20952
22718	13	22718
30405	32	20952
8906	13	8906
40823	13	40823
15011	28	57455
1770	4	54475
43716	33	64339
38810	13	38810
34824	13	34824
24086	13	24086
47783	4	1701
32457	4	49278
67391	26	38807
25385	26	52802
3279	4	64084
22611	13	22611
22349	32	20952
51505	1	17251
49668	13	49668
45430	1	1040
46378	13	46378
15019	32	20952
62459	13	62459
8696	28	10577
34532	13	34532
63540	28	27958
39111	1	57257
45225	26	10331
21267	4	19510
63509	26	10331
57799	32	20952
57577	13	57577
24904	32	20952
45335	4	25651
33313	32	20952
50780	32	20952
27735	13	27735
58433	13	58433
64533	13	64533
64494	1	20530
9548	13	9548
23280	1	67399
30895	32	20952
30132	28	19743
17546	13	17546
56217	28	67001
43109	13	43109
49853	13	49853
11666	13	11666
45948	13	45948
39355	13	39355
45090	26	8915
35438	28	47293
31639	1	7172
17810	4	1701
36006	4	1701
47967	4	35797
14032	1	13919
35758	13	35758
36269	13	36269
16110	32	20952
9514	1	43682
7885	13	7885
37738	28	51515
18747	33	64339
490	13	490
26273	4	1701
16131	13	16131
35599	28	63500
11256	13	11256
25602	13	25602
11240	1	1040
29970	28	6045
45785	32	20952
20096	13	20096
8184	13	8184
3400	13	3400
9866	4	44251
39012	28	48374
62935	32	20952
27873	13	27873
44295	13	44295
31131	28	35198
41027	4	25713
14392	32	20952
23785	13	23785
12842	28	8804
24529	32	20952
4590	13	4590
47140	28	14356
9200	13	9200
45296	28	277
2669	32	20952
58333	13	58333
23142	33	6020
31258	28	3232
18996	13	18996
41968	1	29664
40782	28	14708
2528	28	35710
61176	28	6988
53425	28	8612
9347	4	41937
30186	13	30186
1854	13	1854
378	13	378
50519	4	65990
6571	13	6571
32450	13	32450
8536	4	19667
13318	13	13318
42026	28	8811
51840	13	51840
30786	4	67022
52550	13	52550
23877	32	20952
6797	1	26188
16049	1	4568
19398	28	41858
55818	28	47818
5221	13	5221
9359	4	8217
3877	32	20952
49370	4	64339
39906	28	47865
27881	13	27881
11944	4	33870
65609	32	20952
18701	28	12497
11052	13	11052
